from_country,to_country,name,capacity_mw,voltage_kv
ZM,ZW,Kariba-330kV,1400,330
ZM,CD,CEC-Copperbelt-220kV,600,220
ZM,NA,Sesheke-220kV,300,220
ZM,BW,Kazungula-66kV,70,66
ZW,ZA,Matimba-Insukamini-400kV,500,400
ZW,MZ,Songo-Bindura-330kV,500,330
MZ,ZA,CahoraBassa-HVDC-533kV,2000,533
ZA,BW,Eskom-BPC-220kV,650,220
ZA,NA,Caprivi-HVDC-350kV,300,350
ZA,SZ,Eskom-SEC-400kV,350,400
ZA,LS,Eskom-LEC-132kV,72,132
BW,ZW,Francistown-220kV,200,220
