data,pypsa
Bangweulu Power Limited,solar
Itezhi tezhi Power Corporation,reservoir and dam
Kafue Gorge Lower,reservoir and dam
Kariba North Bank Extension,reservoir and dam
Lunsemfwa Hydro Power Limited,run of river
Maamba Energy Limited,coal
Ndola Energy Corporation Limited,oil
Kafue Gorge Mini Hydro,run of river
Chisamba,solar
Solar century,solar
United Capital Fertiliser,coal
Ngonye Power Limited,solar
Dangote,coal
CEC Emergency Generators,oil
Kafue Gorge,reservoir and dam
Kariba North Bank,reservoir and dam
Victoria falls,run of river
Chishimba Falls,run of river
Lunzua,run of river
Lusiwasi Lower,run of river
Lusiwasi Upper,run of river
Musonda Falls,run of river
Shiwan'gandu,run of river
Chama,oil
Itezhi tezhi oil,oil
Kabompo,oil
Luangwa,oil
Lundazi,oil
Shang'ombo,oil
Zambezi,oil
